sides,defector,cooperator,radio,pay,factor,tolerance,n_rows,mean_info_generations,colapso,equilibrio
10,0.2,0.8,1,1.0,1.0,0,2000,2.149,2000,0
10,0.2,0.8,1,1.0,1.0,12,2000,3.196,2000,0
10,0.2,0.8,1,1.0,1.0,23,2000,5.3035,1998,2
10,0.2,0.8,1,1.0,1.0,34,2000,24.771,1305,695
10,0.2,0.8,1,1.0,1.0,45,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.0,56,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.0,67,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.0,78,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.0,89,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.1,0,2000,2.149,2000,0
10,0.2,0.8,1,1.0,1.1,3,2000,3.196,2000,0
10,0.2,0.8,1,1.0,1.1,15,2000,5.3035,1998,2
10,0.2,0.8,1,1.0,1.1,27,2000,24.771,1305,695
10,0.2,0.8,1,1.0,1.1,39,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.1,52,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.1,64,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.1,76,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.1,88,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.2,0,2000,3.196,2000,0
10,0.2,0.8,1,1.0,1.2,7,2000,5.3035,1998,2
10,0.2,0.8,1,1.0,1.2,20,2000,24.771,1305,695
10,0.2,0.8,1,1.0,1.2,34,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.2,47,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.2,60,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.2,74,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.2,87,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.3,0,2000,5.3035,1998,2
10,0.2,0.8,1,1.0,1.3,14,2000,24.771,1305,695
10,0.2,0.8,1,1.0,1.3,28,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.3,43,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.3,57,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.3,72,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.3,86,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.4,0,2000,5.3035,1998,2
10,0.2,0.8,1,1.0,1.4,7,2000,24.771,1305,695
10,0.2,0.8,1,1.0,1.4,23,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.4,38,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.4,54,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.4,69,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.4,85,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.5,0,2000,24.771,1305,695
10,0.2,0.8,1,1.0,1.5,17,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.5,34,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.5,51,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.5,67,2000,49.0,0,2000
10,0.2,0.8,1,1.0,1.5,84,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.0,0,2000,2.466,2000,0
20,0.2,0.8,1,1.0,1.0,12,2000,3.8225,2000,0
20,0.2,0.8,1,1.0,1.0,23,2000,6.4205,2000,0
20,0.2,0.8,1,1.0,1.0,34,2000,18.9125,1985,15
20,0.2,0.8,1,1.0,1.0,45,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.0,56,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.0,67,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.0,78,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.0,89,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.1,0,2000,2.466,2000,0
20,0.2,0.8,1,1.0,1.1,3,2000,3.8225,2000,0
20,0.2,0.8,1,1.0,1.1,15,2000,6.4205,2000,0
20,0.2,0.8,1,1.0,1.1,27,2000,18.9125,1985,15
20,0.2,0.8,1,1.0,1.1,39,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.1,52,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.1,64,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.1,76,2000,49.0,0,2000
20,0.2,0.8,1,1.0,1.1,88,2000,49.0,0,2000
