sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations
10,0.2,0.8,1,1,3.5,83,0,49
10,0.2,0.8,1,1,3.5,83,1,49
10,0.2,0.8,1,1,3.5,83,2,49
10,0.2,0.8,1,1,3.5,83,3,49
10,0.2,0.8,1,1,3.5,83,4,49
10,0.2,0.8,1,1,3.5,83,5,49
10,0.2,0.8,1,1,3.5,83,6,49
10,0.2,0.8,1,1,3.5,83,7,49
10,0.2,0.8,1,1,3.5,83,8,49
10,0.2,0.8,1,1,3.5,83,9,49
10,0.2,0.8,1,1,3.5,83,10,49
10,0.2,0.8,1,1,3.5,83,11,49
10,0.2,0.8,1,1,3.5,83,12,49
10,0.2,0.8,1,1,3.5,83,13,49
10,0.2,0.8,1,1,3.5,83,14,49
10,0.2,0.8,1,1,3.5,83,15,49
10,0.2,0.8,1,1,3.5,83,16,49
10,0.2,0.8,1,1,3.5,83,17,49
10,0.2,0.8,1,1,3.5,83,18,49
10,0.2,0.8,1,1,3.5,83,19,49
10,0.2,0.8,1,1,3.5,83,20,49
10,0.2,0.8,1,1,3.5,83,21,49
10,0.2,0.8,1,1,3.5,83,22,49
10,0.2,0.8,1,1,3.5,83,23,49
10,0.2,0.8,1,1,3.5,83,24,49
10,0.2,0.8,1,1,3.5,83,25,49
10,0.2,0.8,1,1,3.5,83,26,49
10,0.2,0.8,1,1,3.5,83,27,49
10,0.2,0.8,1,1,3.5,83,28,49
10,0.2,0.8,1,1,3.5,83,29,49
10,0.2,0.8,1,1,3.5,83,30,49
10,0.2,0.8,1,1,3.5,83,31,49
10,0.2,0.8,1,1,3.5,83,32,49
10,0.2,0.8,1,1,3.5,83,33,49
10,0.2,0.8,1,1,3.5,83,34,49
10,0.2,0.8,1,1,3.5,83,35,49
10,0.2,0.8,1,1,3.5,83,36,49
10,0.2,0.8,1,1,3.5,83,37,49
10,0.2,0.8,1,1,3.5,83,38,49
10,0.2,0.8,1,1,3.5,83,39,49
10,0.2,0.8,1,1,3.5,83,40,49
10,0.2,0.8,1,1,3.5,83,41,49
10,0.2,0.8,1,1,3.5,83,42,49
10,0.2,0.8,1,1,3.5,83,43,49
10,0.2,0.8,1,1,3.5,83,44,49
10,0.2,0.8,1,1,3.5,83,45,49
10,0.2,0.8,1,1,3.5,83,46,49
10,0.2,0.8,1,1,3.5,83,47,49
10,0.2,0.8,1,1,3.5,83,48,49
10,0.2,0.8,1,1,3.5,83,49,49
10,0.2,0.8,1,1,3.5,83,50,49
10,0.2,0.8,1,1,3.5,83,51,49
10,0.2,0.8,1,1,3.5,83,52,49
10,0.2,0.8,1,1,3.5,83,53,49
10,0.2,0.8,1,1,3.5,83,54,49
10,0.2,0.8,1,1,3.5,83,55,49
10,0.2,0.8,1,1,3.5,83,56,49
10,0.2,0.8,1,1,3.5,83,57,49
10,0.2,0.8,1,1,3.5,83,58,49
10,0.2,0.8,1,1,3.5,83,59,49
10,0.2,0.8,1,1,3.5,83,60,49
10,0.2,0.8,1,1,3.5,83,61,49
10,0.2,0.8,1,1,3.5,83,62,49
10,0.2,0.8,1,1,3.5,83,63,49
10,0.2,0.8,1,1,3.5,83,64,49
10,0.2,0.8,1,1,3.5,83,65,49
10,0.2,0.8,1,1,3.5,83,66,49
10,0.2,0.8,1,1,3.5,83,67,49
10,0.2,0.8,1,1,3.5,83,68,49
10,0.2,0.8,1,1,3.5,83,69,49
10,0.2,0.8,1,1,3.5,83,70,49
10,0.2,0.8,1,1,3.5,83,71,49
10,0.2,0.8,1,1,3.5,83,72,49
10,0.2,0.8,1,1,3.5,83,73,49
10,0.2,0.8,1,1,3.5,83,74,49
10,0.2,0.8,1,1,3.5,83,75,49
10,0.2,0.8,1,1,3.5,83,76,49
10,0.2,0.8,1,1,3.5,83,77,49
10,0.2,0.8,1,1,3.5,83,78,49
10,0.2,0.8,1,1,3.5,83,79,49
10,0.2,0.8,1,1,3.5,83,80,49
10,0.2,0.8,1,1,3.5,83,81,49
10,0.2,0.8,1,1,3.5,83,82,49
10,0.2,0.8,1,1,3.5,83,83,49
10,0.2,0.8,1,1,3.5,83,84,49
10,0.2,0.8,1,1,3.5,83,85,49
10,0.2,0.8,1,1,3.5,83,86,49
10,0.2,0.8,1,1,3.5,83,87,49
10,0.2,0.8,1,1,3.5,83,88,49
10,0.2,0.8,1,1,3.5,83,89,49
10,0.2,0.8,1,1,3.5,83,90,49
10,0.2,0.8,1,1,3.5,83,91,49
10,0.2,0.8,1,1,3.5,83,92,49
10,0.2,0.8,1,1,3.5,83,93,49
10,0.2,0.8,1,1,3.5,83,94,49
10,0.2,0.8,1,1,3.5,83,95,49
10,0.2,0.8,1,1,3.5,83,96,49
10,0.2,0.8,1,1,3.5,83,97,49
10,0.2,0.8,1,1,3.5,83,98,49
10,0.2,0.8,1,1,3.5,83,99,49
10,0.2,0.8,1,1,3.5,83,100,49
10,0.2,0.8,1,1,3.5,83,101,49
10,0.2,0.8,1,1,3.5,83,102,49
10,0.2,0.8,1,1,3.5,83,103,49
10,0.2,0.8,1,1,3.5,83,104,49
10,0.2,0.8,1,1,3.5,83,105,49
10,0.2,0.8,1,1,3.5,83,106,49
10,0.2,0.8,1,1,3.5,83,107,49
10,0.2,0.8,1,1,3.5,83,108,49
10,0.2,0.8,1,1,3.5,83,109,49
10,0.2,0.8,1,1,3.5,83,110,49
10,0.2,0.8,1,1,3.5,83,111,49
10,0.2,0.8,1,1,3.5,83,112,49
10,0.2,0.8,1,1,3.5,83,113,49
10,0.2,0.8,1,1,3.5,83,114,49
10,0.2,0.8,1,1,3.5,83,115,49
10,0.2,0.8,1,1,3.5,83,116,49
10,0.2,0.8,1,1,3.5,83,117,49
10,0.2,0.8,1,1,3.5,83,118,49
10,0.2,0.8,1,1,3.5,83,119,49
10,0.2,0.8,1,1,3.5,83,120,49
10,0.2,0.8,1,1,3.5,83,121,49
10,0.2,0.8,1,1,3.5,83,122,49
10,0.2,0.8,1,1,3.5,83,123,49
10,0.2,0.8,1,1,3.5,83,124,49
10,0.2,0.8,1,1,3.5,83,125,49
10,0.2,0.8,1,1,3.5,83,126,49
10,0.2,0.8,1,1,3.5,83,127,49
10,0.2,0.8,1,1,3.5,83,128,49
10,0.2,0.8,1,1,3.5,83,129,49
10,0.2,0.8,1,1,3.5,83,130,49
10,0.2,0.8,1,1,3.5,83,131,49
10,0.2,0.8,1,1,3.5,83,132,49
10,0.2,0.8,1,1,3.5,83,133,49
10,0.2,0.8,1,1,3.5,83,134,49
10,0.2,0.8,1,1,3.5,83,135,49
10,0.2,0.8,1,1,3.5,83,136,49
10,0.2,0.8,1,1,3.5,83,137,49
10,0.2,0.8,1,1,3.5,83,138,49
10,0.2,0.8,1,1,3.5,83,139,49
10,0.2,0.8,1,1,3.5,83,140,49
10,0.2,0.8,1,1,3.5,83,141,49
10,0.2,0.8,1,1,3.5,83,142,49
10,0.2,0.8,1,1,3.5,83,143,49
10,0.2,0.8,1,1,3.5,83,144,49
10,0.2,0.8,1,1,3.5,83,145,49
10,0.2,0.8,1,1,3.5,83,146,49
10,0.2,0.8,1,1,3.5,83,147,49
10,0.2,0.8,1,1,3.5,83,148,49
10,0.2,0.8,1,1,3.5,83,149,49
10,0.2,0.8,1,1,3.5,83,150,49
10,0.2,0.8,1,1,3.5,83,151,49
10,0.2,0.8,1,1,3.5,83,152,49
10,0.2,0.8,1,1,3.5,83,153,49
10,0.2,0.8,1,1,3.5,83,154,49
10,0.2,0.8,1,1,3.5,83,155,49
10,0.2,0.8,1,1,3.5,83,156,49
10,0.2,0.8,1,1,3.5,83,157,49
10,0.2,0.8,1,1,3.5,83,158,49
10,0.2,0.8,1,1,3.5,83,159,49
10,0.2,0.8,1,1,3.5,83,160,49
10,0.2,0.8,1,1,3.5,83,161,49
10,0.2,0.8,1,1,3.5,83,162,49
10,0.2,0.8,1,1,3.5,83,163,49
10,0.2,0.8,1,1,3.5,83,164,49
10,0.2,0.8,1,1,3.5,83,165,49
10,0.2,0.8,1,1,3.5,83,166,49
10,0.2,0.8,1,1,3.5,83,167,49
10,0.2,0.8,1,1,3.5,83,168,49
10,0.2,0.8,1,1,3.5,83,169,49
10,0.2,0.8,1,1,3.5,83,170,49
10,0.2,0.8,1,1,3.5,83,171,49
10,0.2,0.8,1,1,3.5,83,172,49
10,0.2,0.8,1,1,3.5,83,173,49
10,0.2,0.8,1,1,3.5,83,174,49
10,0.2,0.8,1,1,3.5,83,175,49
10,0.2,0.8,1,1,3.5,83,176,49
10,0.2,0.8,1,1,3.5,83,177,49
10,0.2,0.8,1,1,3.5,83,178,49
10,0.2,0.8,1,1,3.5,83,179,49
10,0.2,0.8,1,1,3.5,83,180,49
10,0.2,0.8,1,1,3.5,83,181,49
10,0.2,0.8,1,1,3.5,83,182,49
10,0.2,0.8,1,1,3.5,83,183,49
10,0.2,0.8,1,1,3.5,83,184,49
10,0.2,0.8,1,1,3.5,83,185,49
10,0.2,0.8,1,1,3.5,83,186,49
10,0.2,0.8,1,1,3.5,83,187,49
10,0.2,0.8,1,1,3.5,83,188,49
10,0.2,0.8,1,1,3.5,83,189,49
10,0.2,0.8,1,1,3.5,83,190,49
10,0.2,0.8,1,1,3.5,83,191,49
10,0.2,0.8,1,1,3.5,83,192,49
10,0.2,0.8,1,1,3.5,83,193,49
10,0.2,0.8,1,1,3.5,83,194,49
10,0.2,0.8,1,1,3.5,83,195,49
10,0.2,0.8,1,1,3.5,83,196,49
10,0.2,0.8,1,1,3.5,83,197,49
10,0.2,0.8,1,1,3.5,83,198,49
10,0.2,0.8,1,1,3.5,83,199,49
10,0.2,0.8,1,1,3.5,83,200,49
10,0.2,0.8,1,1,3.5,83,201,49
10,0.2,0.8,1,1,3.5,83,202,49
10,0.2,0.8,1,1,3.5,83,203,49
10,0.2,0.8,1,1,3.5,83,204,49
10,0.2,0.8,1,1,3.5,83,205,49
10,0.2,0.8,1,1,3.5,83,206,49
10,0.2,0.8,1,1,3.5,83,207,49
10,0.2,0.8,1,1,3.5,83,208,49
10,0.2,0.8,1,1,3.5,83,209,49
10,0.2,0.8,1,1,3.5,83,210,49
10,0.2,0.8,1,1,3.5,83,211,49
10,0.2,0.8,1,1,3.5,83,212,49
10,0.2,0.8,1,1,3.5,83,213,49
10,0.2,0.8,1,1,3.5,83,214,49
10,0.2,0.8,1,1,3.5,83,215,49
10,0.2,0.8,1,1,3.5,83,216,49
10,0.2,0.8,1,1,3.5,83,217,49
10,0.2,0.8,1,1,3.5,83,218,49
10,0.2,0.8,1,1,3.5,83,219,49
10,0.2,0.8,1,1,3.5,83,220,49
10,0.2,0.8,1,1,3.5,83,221,49
10,0.2,0.8,1,1,3.5,83,222,49
