sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
60,0.2,0.8,1,1,1.3,43,0,3,True
60,0.2,0.8,1,1,1.3,43,1,2,True
60,0.2,0.8,1,1,1.3,43,2,2,True
60,0.2,0.8,1,1,1.3,43,3,2,True
60,0.2,0.8,1,1,1.3,43,4,3,True
60,0.2,0.8,1,1,1.3,43,5,3,True
60,0.2,0.8,1,1,1.3,43,6,2,True
60,0.2,0.8,1,1,1.3,43,7,3,True
60,0.2,0.8,1,1,1.3,43,8,2,True
60,0.2,0.8,1,1,1.3,43,9,3,True
60,0.2,0.8,1,1,1.3,43,10,3,True
60,0.2,0.8,1,1,1.3,43,11,2,True
60,0.2,0.8,1,1,1.3,43,12,3,True
60,0.2,0.8,1,1,1.3,43,13,3,True
60,0.2,0.8,1,1,1.3,43,14,1,True
60,0.2,0.8,1,1,1.3,43,15,2,True
60,0.2,0.8,1,1,1.3,43,16,4,True
60,0.2,0.8,1,1,1.3,43,17,5,True
60,0.2,0.8,1,1,1.3,43,18,2,True
60,0.2,0.8,1,1,1.3,43,19,2,True
60,0.2,0.8,1,1,1.3,43,20,3,True
60,0.2,0.8,1,1,1.3,43,21,2,True
60,0.2,0.8,1,1,1.3,43,22,3,True
60,0.2,0.8,1,1,1.3,43,23,3,True
60,0.2,0.8,1,1,1.3,43,24,4,True
60,0.2,0.8,1,1,1.3,43,25,2,True
60,0.2,0.8,1,1,1.3,43,26,3,True
60,0.2,0.8,1,1,1.3,43,27,1,True
60,0.2,0.8,1,1,1.3,43,28,2,True
60,0.2,0.8,1,1,1.3,43,29,3,True
60,0.2,0.8,1,1,1.3,43,30,2,True
60,0.2,0.8,1,1,1.3,43,31,2,True
60,0.2,0.8,1,1,1.3,43,32,3,True
60,0.2,0.8,1,1,1.3,43,33,3,True
60,0.2,0.8,1,1,1.3,43,34,3,True
60,0.2,0.8,1,1,1.3,43,35,2,True
60,0.2,0.8,1,1,1.3,43,36,4,True
60,0.2,0.8,1,1,1.3,43,37,4,True
60,0.2,0.8,1,1,1.3,43,38,4,True
60,0.2,0.8,1,1,1.3,43,39,2,True
60,0.2,0.8,1,1,1.3,43,40,3,True
60,0.2,0.8,1,1,1.3,43,41,3,True
60,0.2,0.8,1,1,1.3,43,42,3,True
60,0.2,0.8,1,1,1.3,43,43,2,True
60,0.2,0.8,1,1,1.3,43,44,2,True
60,0.2,0.8,1,1,1.3,43,45,2,True
60,0.2,0.8,1,1,1.3,43,46,4,True
60,0.2,0.8,1,1,1.3,43,47,3,True
60,0.2,0.8,1,1,1.3,43,48,3,True
60,0.2,0.8,1,1,1.3,43,49,3,True
60,0.2,0.8,1,1,1.3,43,50,3,True
60,0.2,0.8,1,1,1.3,43,51,3,True
60,0.2,0.8,1,1,1.3,43,52,2,True
60,0.2,0.8,1,1,1.3,43,53,3,True
60,0.2,0.8,1,1,1.3,43,54,2,True
60,0.2,0.8,1,1,1.3,43,55,4,True
60,0.2,0.8,1,1,1.3,43,56,2,True
60,0.2,0.8,1,1,1.3,43,57,2,True
60,0.2,0.8,1,1,1.3,43,58,2,True
60,0.2,0.8,1,1,1.3,43,59,3,True
60,0.2,0.8,1,1,1.3,43,60,2,True
60,0.2,0.8,1,1,1.3,43,61,3,True
60,0.2,0.8,1,1,1.3,43,62,2,True
60,0.2,0.8,1,1,1.3,43,63,3,True
60,0.2,0.8,1,1,1.3,43,64,2,True
60,0.2,0.8,1,1,1.3,43,65,2,True
60,0.2,0.8,1,1,1.3,43,66,4,True
60,0.2,0.8,1,1,1.3,43,67,1,True
60,0.2,0.8,1,1,1.3,43,68,4,True
60,0.2,0.8,1,1,1.3,43,69,3,True
60,0.2,0.8,1,1,1.3,43,70,3,True
60,0.2,0.8,1,1,1.3,43,71,2,True
60,0.2,0.8,1,1,1.3,43,72,4,True
60,0.2,0.8,1,1,1.3,43,73,2,True
60,0.2,0.8,1,1,1.3,43,74,4,True
60,0.2,0.8,1,1,1.3,43,75,3,True
60,0.2,0.8,1,1,1.3,43,76,4,True
60,0.2,0.8,1,1,1.3,43,77,1,True
60,0.2,0.8,1,1,1.3,43,78,3,True
60,0.2,0.8,1,1,1.3,43,79,3,True
60,0.2,0.8,1,1,1.3,43,80,2,True
60,0.2,0.8,1,1,1.3,43,81,4,True
60,0.2,0.8,1,1,1.3,43,82,3,True
